algorithm,clean_correct,clean_total,clean_rank1_percent,all41_strict_correct,all41_strict_total,all41_strict_rank1_percent,delta_vs_lbph_percentage_points,matcher_only_correct,matcher_only_total,matcher_only_rank1_percent,no_face,unusable,descriptor_bytes_per_identity,gallery_template_bytes,static_state_bytes,serialized_model_bytes,feature_extract_p50_ms,feature_extract_p95_ms,gallery_match_p50_ms,gallery_match_p95_ms,total_recognition_p50_ms,total_recognition_p95_ms,error_auc_best_distance,error_auc_negative_margin,auc_n
lpq_w7,6,28,21.428571428571427,190,1148,16.550522648083625,3.135888501742162,190,1089,17.447199265381084,59,0,65536,1835008,3648,,3.68295,6.0700949999999985,4.84605,8.343884999999998,8.715600000000002,13.571109999999997,0.6605994965165973,0.7737895907733738,1089
lpq_multiscale_w3_5_7,6,28,21.428571428571427,190,1148,16.550522648083625,3.135888501742162,190,1089,17.447199265381084,59,0,196608,5505024,6848,,9.519449999999999,13.774469999999999,16.26885,36.41169,26.19095,48.83382499999999,0.6283941221239975,0.7073297816287103,1089
tan_triggs_ltp,7,28,25.0,189,1148,16.463414634146343,3.04878048780488,189,1089,17.355371900826448,59,0,131072,3670016,0,,3.34415,5.96186,9.1049,14.439589999999999,12.5665,19.615714999999998,0.5831569664902998,0.6174955908289241,1089
lbph,6,28,21.428571428571427,154,1148,13.414634146341463,0.0,154,1089,14.141414141414142,59,0,65536,1835008,0,3316974,1.3602500000000002,5.536544999999999,1.7711999999999999,9.978544999999997,3.1982999999999997,14.98824,0.5998749913188416,0.5061393152302243,1089
hog,5,28,17.857142857142858,128,1148,11.149825783972126,-2.2648083623693367,128,1089,11.753902662993571,59,0,11664,326592,0,,0.30079999999999996,0.61057,0.95565,1.9363799999999998,1.2772999999999999,2.5279999999999996,0.5975221123829344,0.617358220603538,1089
ltp,3,28,10.714285714285714,91,1148,7.926829268292683,-5.48780487804878,91,1089,8.356290174471992,59,0,131072,3670016,0,,2.61855,6.55533,9.56335,20.765735,12.2116,27.110989999999997,0.49821621264507043,0.5268118654892202,1089
