algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
hog,transform,skew_4,5,28,17.857142857142858,5,28,17.857142857142858,0,0
hog,transform,skew_6,7,28,25.0,7,28,25.0,0,0
hog,transform,trans_10,0,28,0.0,0,28,0.0,0,0
hog,transform,trans_20,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
hog,transform,trans_30,0,28,0.0,0,25,0.0,3,0
hog,category,Aspect ratio change,7,56,12.5,7,56,12.5,0,0
hog,category,Auto-levels,5,28,17.857142857142858,5,28,17.857142857142858,0,0
hog,category,Blur,10,84,11.904761904761905,10,84,11.904761904761905,0,0
hog,category,Brightness change,15,84,17.857142857142858,15,84,17.857142857142858,0,0
hog,category,Colour reduction,5,56,8.928571428571429,5,51,9.803921568627452,5,0
hog,category,Colour to monochrome,4,28,14.285714285714286,4,26,15.384615384615385,2,0
hog,category,Crop,13,84,15.476190476190476,13,84,15.476190476190476,0,0
hog,category,Flip,2,28,7.142857142857143,2,28,7.142857142857143,0,0
hog,category,Gaussian noise,7,84,8.333333333333334,7,83,8.433734939759036,1,0
hog,category,Histogram equalization,3,28,10.714285714285714,3,28,10.714285714285714,0,0
hog,category,JPEG compression,17,84,20.238095238095237,17,84,20.238095238095237,0,0
hog,category,Perspective,9,84,10.714285714285714,9,84,10.714285714285714,0,0
hog,category,Rotation,2,84,2.380952380952381,2,55,3.6363636363636362,29,0
hog,category,Scaling,5,84,5.9523809523809526,5,76,6.578947368421052,8,0
hog,category,Simple rotation,5,84,5.9523809523809526,5,73,6.8493150684931505,11,0
hog,category,Skew,18,84,21.428571428571427,18,84,21.428571428571427,0,0
hog,category,Translation,1,84,1.1904761904761905,1,81,1.2345679012345678,3,0
