config_id,radius,neighbors,grid_x,grid_y,feature_bytes_per_template,threshold,locked_far_ppm,rank1_percent,tpir_percent,verification_tpr_percent,mean_score_ms
r1_n8_g8x8,1,8,8,8,65536,67.0132357790767,9.930965258334684,5.9523809523809526,1.4285714285714286,1.4285714285714286,36.32393119048737
r3_n8_g6x6,3,8,6,6,36864,52.372394898355424,11.868714577034135,10.0,3.8095238095238093,3.8095238095238093,21.09205523773285
