config_id,radius,neighbors,grid_x,grid_y,feature_bytes_per_template,identity_count,probe_count,threshold,calibration_far_ppm,rank1_percent,tpir_percent,verification_tpr_percent,genuine_distance_median,mean_score_ms,train_seconds
r1_n8_g4x4,1,8,4,4,16384,2875,840,6.402869634861295,9.924056760763667,5.238095238095238,1.6666666666666667,1.6666666666666667,8.983705567264744,11.095325476032615,1.5579431999940425
r1_n8_g6x6,1,8,6,6,36864,2875,840,25.76675888421375,9.924056760763667,7.380952380952381,2.619047619047619,2.619047619047619,33.50412610824323,22.583914404233276,1.6218037999933586
r1_n8_g8x8,1,8,8,8,65536,2875,840,67.0132357790767,9.924056760763667,6.785714285714286,3.0952380952380953,3.0952380952380953,82.82177858729926,36.53820583262824,1.7478117999853566
r1_n8_g10x10,1,8,10,10,102400,2875,840,145.85658313705386,9.924056760763667,6.666666666666667,3.0952380952380953,3.0952380952380953,175.4028943303131,57.00003571449391,1.9477479999768548
r2_n8_g4x4,2,8,4,4,16384,2875,840,10.389769838545568,9.924056760763667,6.785714285714286,2.380952380952381,2.380952380952381,13.36865593437079,10.365788929145006,1.3463434999575838
r2_n8_g6x6,2,8,6,6,36864,2875,840,38.834456703341004,9.924056760763667,8.095238095238095,4.0476190476190474,4.166666666666667,47.767155287670604,21.884211309121124,1.5073682999936864
r2_n8_g8x8,2,8,8,8,65536,2875,840,93.86154507664969,9.924056760763667,7.5,4.0476190476190474,4.0476190476190474,111.63266142873817,41.728572262426106,1.6311471000080928
r2_n8_g10x10,2,8,10,10,102400,2875,840,187.66708654502975,9.924056760763667,7.738095238095238,3.5714285714285716,3.5714285714285716,220.77427779804566,61.73329761998806,1.943968599953223
r3_n8_g4x4,3,8,4,4,16384,2875,840,14.86918189160886,9.924056760763667,8.452380952380953,3.3333333333333335,3.3333333333333335,18.244447409711835,10.757458689927478,1.40666889998829
r3_n8_g6x6,3,8,6,6,36864,2875,840,52.372394898355424,9.924056760763667,8.80952380952381,4.0476190476190474,4.0476190476190474,62.5077506502725,21.524024047747453,1.4117626000079326
r3_n8_g8x8,3,8,8,8,65536,2875,840,118.57798220429498,9.924056760763667,9.047619047619047,3.9285714285714284,4.0476190476190474,139.9144082825522,38.035999761182,1.5320499999797903
r3_n8_g10x10,3,8,10,10,102400,2875,840,211.7076746288185,9.924056760763667,8.214285714285714,3.5714285714285716,3.5714285714285716,246.899359369982,56.27502809601581,1.6838364999857731
